Categoria;Número;Fondo;Entidad;Código SFC - 2015;Fecha de Incorporación;Link
Fondo Renta Fija Nacional Liquidez;18;Renta Liquidez;VALORES BANCOLOMBIA S.A.;59304;7/06/2011;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondos Bursatiles Accionarios Beta;1;FONDO BURSATIL ISHARES COLCAP;BLACKROCK;60678;;
Fondos Bursatiles Accionarios Beta;2;FONDO BURSÁTIL HORIZONS COLOMBIA SELECT DE S&P;FIDUCIARIA BOGOTA S.A.;43502;;
Fondos Bursatiles Accionarios Smart Beta;1;FONDO BURSATIL ISHARES MSCI COLOMBIA RISK WEIGHTED;BLACKROCK;65792;;
Fondo de Activo de Crédito;1;Crédito;BTG PACTUAL S.A.;60273;;
Fondo de Activo de Crédito;2;Credivalores I;BTG PACTUAL S.A.;60200;;
Fondo de Activo de Crédito;3;Credivalores II;BTG PACTUAL S.A.;60248;;
Fondo de Activo de Crédito;4;Diversificado II;BTG PACTUAL S.A.;63732;;
Fondo de Activo de Crédito;5;Obligaciones Diversificado I;BTG PACTUAL S.A.;60197;;
Fondo de Activo de Crédito;6;FONVAL DERECHOS ECONOMICOS 2020;CREDICORP CAPITAL S.A.;59422;;
Fondo de Activo de Crédito;7;FONVAL DERECHOS ECONOMICOS 2026;CREDICORP CAPITAL S.A.;83314;;
Fondo de Activo de Crédito;8;FIC Avanzar 365;FIDUCOOMEVA;76989;;
Fondo de Activo de Crédito;9;FIC OCCIDECOL;FIDUOCCIDENTE S.A.;58750;;
